Call  | Code | PC      | Cyc   | SP      | regA | regB | regC | regD | regE | regH | regL |flgZ|flgS|flgP|flgC|flgAC|
40119 | 0x77 | 0x0143b |     0 | 0x 23f4 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd2 | 0x28 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40120 | 0x13 | 0x0143c |     0 | 0x 23f4 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd2 | 0x28 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40121 | 0x01 | 0x0143d |     0 | 0x 23f4 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd3 | 0x28 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40122 | 0x09 | 0x01440 |     0 | 0x 23f4 | 0x45 | 0x00 | 0x20 | 0x1e | 0xd3 | 0x28 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40123 | 0xc1 | 0x01441 |     0 | 0x 23f4 | 0x45 | 0x00 | 0x20 | 0x1e | 0xd3 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40124 | 0x05 | 0x01442 |     0 | 0x 23f6 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd3 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40125 | 0xc2 | 0x01443 |     0 | 0x 23f6 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40126 | 0xc5 | 0x01439 |     0 | 0x 23f6 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40127 | 0x1a | 0x0143a |     0 | 0x 23f4 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40128 | 0x77 | 0x0143b |     0 | 0x 23f4 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40129 | 0x13 | 0x0143c |     0 | 0x 23f4 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40130 | 0x01 | 0x0143d |     0 | 0x 23f4 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd4 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40131 | 0x09 | 0x01440 |     0 | 0x 23f4 | 0x49 | 0x00 | 0x20 | 0x1e | 0xd4 | 0x28 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40132 | 0xc1 | 0x01441 |     0 | 0x 23f4 | 0x49 | 0x00 | 0x20 | 0x1e | 0xd4 | 0x28 | 0x9c |  0 |  0 |  1 |  0 |   0 | 
40133 | 0x05 | 0x01442 |     0 | 0x 23f6 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd4 | 0x28 | 0x9c |  0 |  0 |  1 |  0 |   0 | 
40134 | 0xc2 | 0x01443 |     0 | 0x 23f6 | 0x49 | 0x04 | 0x00 | 0x1e | 0xd4 | 0x28 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40135 | 0xc5 | 0x01439 |     0 | 0x 23f6 | 0x49 | 0x04 | 0x00 | 0x1e | 0xd4 | 0x28 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
